垃圾名稱	圖層順序	圖層名稱	拆解排序	圖層X位置	圖層Y位置	圖層W寬度	圖層H高度	對應部分/材質
牛奶盒	1	下半部	1	266	235	264	272	塑膠淋膜
牛奶盒	2	上半部	2	266	145	264	258	紙盒
牛奶盒	3	瓶蓋	3	330	177	60	57	塑膠旋蓋
超商熱咖啡杯	1	下半部	1	311	163	199	324	塑膠淋膜
超商熱咖啡杯	2	杯套（後）	2	314	246	194	140	隔熱杯套
超商熱咖啡杯	3	上半部	3	307	161	207	190	紙杯身
超商熱咖啡杯	4	杯套（前）	2	314	246	194	140
超商熱咖啡杯	5	杯蓋	4	299	148	222	81.5	塑膠杯蓋
塑膠飲料杯	1	下半部	1	329	188	188	314	塑膠杯
塑膠飲料杯	2	杯蓋（後）	2	326	186.5	194	43	封膜
塑膠飲料杯	3	吸管	3	391	95	63	397	吸管
塑膠飲料杯	4	塑膠杯前緣	1	329	188	188	314
塑膠飲料杯	5	杯蓋（前）	2	326	186.5	194	43
紙製便當盒	1	橡皮圈（下）	4	287	188	315	223
紙製便當盒	2	餐盒下	1	117	134	651	354	塑膠淋膜
紙製便當盒	3	餐盒上	2	117	135	651	305	紙
紙製便當盒	4	餐盒蓋	3	113	131	660	313
紙製便當盒	5	橡皮圈（上）	4	287	188	315	223	橡皮筋
養樂多	1	塑膠瓶	1	309.3	118.6	231.4	418.8	塑膠瓶
養樂多	2	鋁製封膜	2	425.1	86.6	107.4	95.4	鋁製封膜
雨傘	1	傘骨	1	361	143.3	172.7	404.9
雨傘	2	傘布	2	297.2	183.9	246.3	336
雨傘	3	握把配件	3	365.1	75.8	58.8	100.3
夾腳拖	1	夾腳拖	1	237.7	63.6	374.7	496.9
鋁罐	1	鋁罐	1	299.8	78.1	250.5	485.5
玻璃瓶	1	玻璃罐	1	360	68.2	130	489.5
玻璃瓶	2	瓶蓋	2	390.9	66.3	68.2	21.8
網購紙箱	1	膠帶（後）	2	242.5	140	349.8	244.4
網購紙箱	2	箱體	1	176.5	95.8	496.9	432.4
網購紙箱	3	膠帶（前）	2	242.5	140	349.8	244.4
寶特瓶	1	塑膠套（後）	2	359	222.7	132	99.4
寶特瓶	2	寶特瓶	1	358.5	85	132.9	454.9
寶特瓶	3	塑膠套（前）	2	359	222.7	132	99.4
寶特瓶	4	瓶蓋	3	395.1	84	60	40
衣架	1	衣架	1	113.8	137	622.5	350
衣架	2	尖端保護套	2	346	159	27.9	30.9
生鮮托盤	1	托盤	1	132.3	170	580.1	284
生鮮托盤	2	保鮮膜	2	448.2	208.3	269.5	242.2
鏡子	1	鏡框	1	275	77.1	300	469.8
鏡子	2	鏡面	2	289.2	91.2	271.7	441.5
泡泡紙/防撞袋	1	泡泡紙/防撞袋	1	196.5	90.5	457	443
報紙	1	報紙	1	166	128.6	518.1	366.8
手提紙袋	1	手提紙袋	1	270.9	115.7	308.2	392.6
塑膠湯匙	1	塑膠湯匙	1	158.3	239.6	533.3	144.8
盆栽	1	花盆（後）	1	331.1	374	165.3	196.5
盆栽	2	土	2	343.7	392.9	140.1	151.8
盆栽	3	植物	3	262.5	53.4	324.9	450.6
盆栽	4	花盆（前）	1	331.1	374	165.3	196.5
用完的沐浴乳/洗髮精	1	壓頭（後）	2	345.2	51.9	110.8	482.9
用完的沐浴乳/洗髮精	2	塑膠瓶	1	352.6	138.4	152.2	433.8
用完的沐浴乳/洗髮精	3	壓頭（前）	2	345.2	51.9	110.8	482.9
洗面乳	1	瓶蓋（後）	1	360.7	468.5	128.7	91
洗面乳	2	塑膠軟管	2	312.6	64.5	224.8	458.4
洗面乳	3	瓶蓋（前）	1	360.7	468.5	128.7	91
免洗筷	1	封套（後）	1	391	42	68	540
免洗筷	2	筷子	2	400.9	72.4	38.3	479.1
免洗筷	3	封套（前）	1	391	42	68	540
優格杯	1	杯	1	245.1	192.1	358.1	339.2
優格杯	2	封膜	2	353	92.7	251.9	205.8
小吃紙袋	1	小吃紙袋	1	226.3	76.9	397.3	470.2
信用卡	1	信用卡	1	127.1	118.3	595.8	387.3
披薩盒	1	盒子（後）	1	136.2	44.3	577.7	535.3
披薩盒	2	防油隔熱紙	2	156.8	373.3	436.8	196.3
披薩盒	3	盒子（前）	1	136.2	44.3	577.7	535.3
披薩盒	4	固定物	3	363.6	430.5	36.6	39.3
水果網套	1	套袋	1	235.8	63.1	378.4	497.7
水果網套	2	緩衝墊	2	276.5	152.8	312	363.6
奶粉罐	1	罐	1	287.2	118	275.6	399.3
奶粉罐	2	蓋子	2	285.6	106.7	278.8	88.8
打火機	1	容器（後）	1	360.9	191.7	134.7	350.5
打火機	2	燃料	2	360.9	400.4	134.7	124
打火機	3	打火裝置	3	354.5	81.8	141	420.1
打火機	4	容器（前）	1	360.9	191.7	134.7	350.5
菸盒	1	封膜（後）	1	272	251.2	250.1	284.5
菸盒	2	紙盒（後）	2	277	88.2	301	443.6
菸盒	3	內襯紙	3	286.7	160.7	224	366.5
菸盒	4	紙盒（前）	2	277	88.2	301	443.6
菸盒	5	封膜（前）	1	272	251.2	250.1	284.5
紙尿布	1	防水層（後）	1	136.8	115.5	576.4	393
紙尿布	2	吸水層	2	248.9	145.8	290	346
紙尿布	3	親膚層	3	136.8	115.5	542.9	393
紙尿布	4	防水層（前）	1	136.8	115.5	576.4	393
馬桶刷	1	收納盒（後）	1	360	421.5	130	132.4
馬桶刷	2	刷毛（後）	2	380	421.5	90	104.6
馬桶刷	3	柄	3	408.2	70.1	33.5	433.5
馬桶刷	4	刷毛（前）	2	380	421.5	90	104.6
馬桶刷	5	收納盒（前）	1	360	421.5	130	132.4
原子筆	1	筆蓋（後）	1	397.9	372.5	54.3	199.5
原子筆	2	筆管（後）	3	417.5	52	29.3	479.2
原子筆	3	筆芯	2	423.7	103	17	438.2
原子筆	4	筆管（前）	3	417.5	63.3	29.3	467.9
原子筆	5	筆蓋（前）	1	412.1	376.3	40	195.7
鉛筆	1	鉛筆	1	410.3	66.1	29.3	491.8
紙飲料杯	1	杯緣7	2	302	199	266	202.8
紙飲料杯	2	塑膠膜6	3	290	199	266.1	72.5	封膜
紙飲料杯	3	吸管5	4	390	61	58.1	465.3	吸管
紙飲料杯	4	杯緣（前）4	2	302	199	266	202.8
紙飲料杯	5	底部3	1	309	268	219.2	272.8	塑膠淋膜
紙飲料杯	6	上部2	2	302	199	266	202.8	紙杯
紙飲料杯	7	塑膠膜1	3	290	199	266.1	72.5
