品項	比例
養樂多	1x2
雨傘	1x2
夾腳拖	1x1
鋁罐	1x2
玻璃瓶	1x2
網購紙箱	2x2
寶特瓶	1x2
衣架	2x1
生鮮托盤	2x1
塑膠吸管	1x2
鏡子	1x1
泡泡紙	2x2
報紙	1x1
手提紙袋	1x1
塑膠湯匙	2x1
盆栽	1x2
沐浴乳瓶罐	1x2
洗面乳	1x2
濾水器濾芯	1x2
免洗筷	1x2
優格杯	1x1
小吃紙袋	1x1
信用卡	2x1
披薩盒	2x2
水果網套	1x1
奶粉罐	1x1
打火機	1x2
菸盒	1x1
紙尿布	2x2
馬桶刷	1x2
原子筆	1x2
鉛筆	1x2
牙刷	1x2
牙膏	1x2
透明雞蛋盒	2x1
透明塑膠袋	1x1
罐裝洋芋片	1x2
袋裝洋芋片	1x1
化妝品瓶罐	1x1
電子發票	1x1
廢棄藥品	1x1
隱形眼鏡	1x1
玩具	2x2
鋁箔包	1x2
高壓瓶	1x2
奶油球	1x1
網購破壞袋	1x1
環保袋	1x1
產品外包裝	1x1
衣物	2x2
生廚餘	2x1
熟廚餘	2x1
充電線	2x2
瓷器	1x1
棉被枕頭	1x1
帳單信封	2x1
口紅	1x2
棉花棒	1x2
塑膠梳子	1x2
輕便雨衣	1x2
塑膠飲料杯	1x2
紙飲料杯	1x2
保麗龍飲料杯	1x2
牛奶盒	1x1
熱咖啡杯	1x2
安全帽	2x2
紙包裝盒	1x1
泡麵碗	2x1
紙便當盒	2x1
防撞乖乖粒	2x2
餅乾禮盒	2x1
塑膠餐盒	2x2
醫療口罩	2x1
立可帶	1x2
薄塑膠盒	2x1
膠囊咖啡	2x1
旅行行李箱	2x2
木製品	2x2
鋁箔紙	2x2
洋蔥網袋	1x2
光碟	1x1
絨毛玩偶	2x2
鞋	2x2
瑜珈墊	2x2
衛生紙包裝	2x1
耳機	1x2
橡皮筋	1x1
不織布提袋	1x2
廣告傳單	2x2
釘書針	2x1
碎紙	2x1
碎玻璃	1x1
拖把	1x2
塑膠梳子	1x1
油漆桶	1x1
補充包	2x2
枯枝落葉	1x1
彩色筆	1x1
滑鼠	1x1
手機殼	2x2
保鮮膜	2x1
塑膠牙線棒	1x2
